code,name,en,lat,lng
100-3,연천,YEONCHEON,38.1017,127.074
100-2,전곡,JEONGOK,38.024606,127.071136
100-1,청산,CHEONGSAN,37.99528,127.07444
100,소요산,SOYOSAN,37.948898,127.061129
101,동두천,DONGDUCHEON,37.927613,127.054928
102,보산,BOSAN,37.914145,127.057179
103,동두천중앙,DONGDUCHEON JUNGANG,37.901781,127.056423
104,지행,JIHAENG,37.892343,127.055793
105,덕정,DEOKJEONG,37.843188,127.061559
106,덕계,DEOKGYE,37.818753,127.056692
107,양주,YANGJU,37.774142,127.044721
108,녹양,NOGYANG,37.759385,127.042279
109,가능,GANEUNG,37.748396,127.044288
110,의정부,UIJEONGBU,37.738362,127.045957
111,회룡,HOERYONG,37.723806,127.047295
112,망월사,MANGWOLSA,37.710219,127.047418
113,도봉산,DOBONGSAN,37.689512,127.046063
114,도봉,DOBONG,37.679212,127.045535
115,방학,BANGHAK,37.667438,127.044322
116,창동,CHANG-DONG,37.653339,127.047645
117,녹천,NOKCHEON,37.644633,127.051383
118,월계,WOLGYE,37.633278,127.058857
119,광운대,KWANGWOON UNIV.,37.623837,127.061695
120,석계,SEOKGYE,37.615006,127.065688
121,신이문,SINIMUN,37.601782,127.067398
122,외대앞,HANKUK UNIV. OF FOREIGN STUDIES,37.596273,127.063693
123,회기,HOEGI,37.589796,127.058048
124,청량리,CHEONGNYANGNI,37.580039,127.044727
125,제기동,JEGI-DONG,37.578175,127.034949
126,신설동,SINSEOL-DONG,37.57603,127.024457
127,동묘앞,DONGMYO,37.573217,127.016364
128,동대문,DONGDAEMUN,37.571668,127.010632
129,종로5가,JONGNO 5-GA,37.570976,127.001539
130,종로3가,JONGNO 3-GA,37.570421,126.992153
131,종각,JONGGAK,37.570229,126.983152
132,시청,CITY HALL,37.565344,126.977199
133,서울역,SEOUL STATION,37.55598,126.972091
134,남영,NAMYEONG,37.540566,126.971332
135,용산,YONGSAN,37.529774,126.96463
136,노량진,NORYANGJIN,37.514055,126.94211
137,대방,DAEBANG,37.513354,126.926497
138,신길,SINGIL,37.516787,126.918367
139,영등포,YEONGDEUNGPO,37.515673,126.90755
140,신도림,SINDORIM,37.508908,126.891313
141,구로,GURO,37.503342,126.882309
142,구일,GUIL,37.496255,126.869691
143,개봉,GAEBONG,37.494642,126.858716
144,오류동,ORYU-DONG,37.494397,126.844807
145,온수,ONSU,37.4924,126.823829
146,역곡,YEOKGOK,37.485314,126.812059
147,소사,SOSA,37.4828,126.795644
148,부천,BUCHEON,37.483989,126.783082
149,중동,JUNGDONG,37.486682,126.764535
150,송내,SONGNAE,37.487642,126.753162
151,부개,BUGAE,37.488477,126.74073
152,부평,BUPYEONG,37.489449,126.724331
153,백운,BAEGUN,37.483342,126.707294
154,동암,DONGAM,37.470696,126.70289
155,간석,GANSEOK,37.464707,126.693518
156,주안,JUAN,37.465053,126.67997
157,도화,DOHWA,37.466118,126.668576
158,제물포,JEMULPO,37.466821,126.657495
159,도원,DOWON,37.468773,126.642533
160,동인천,DONGINCHEON,37.475403,126.632616
161,인천,INCHEON,37.476168,126.616821
P142,가산디지털단지,GASAN DIGITAL COMPLEX,37.481531,126.882615
P143,독산,DOKSAN,37.465976,126.889476
P144,금천구청,GEUMCHEON-GU OFFICE,37.456194,126.893609
P145,석수,SEOKSU,37.435093,126.902321
P146,관악,GWANAK,37.419568,126.9085
P147,안양,ANYANG,37.401684,126.92273
P148,명학,MYEONGHAK,37.38446,126.935593
P149,금정,GEUMJEONG,37.372337,126.943271
P150,군포,GUNPO,37.354192,126.948518
P151,당정,DANGJEONG,37.34369,126.948371
P152,의왕,UIWANG,37.320342,126.947977
P153,성균관대,SUNGKYUNKWAN UNIV.,37.300329,126.971022
P154,화서,HWASEO,37.284002,126.989612
P155,수원,SUWON,37.265682,127.00005
P156,세류,SERYU,37.243873,127.0138
P157,병점,BYEONGJEOM,37.206753,127.0332
P158,세마,SEMA,37.187135,127.043427
P159,오산대,OSAN COLLEGE,37.16935,127.063076
P160,오산,OSAN,37.144717,127.06663
P161,진위,JINWI,37.110079,127.062356
P162,송탄,SONGTAN,37.075713,127.05428
P163,서정리,SEOJEONG-RI,37.056564,127.052882
P164,평택지제,PYEONGTAEKJIJE,37.0189,127.070512
P165,평택,PYEONGTAEK,36.990849,127.085273
P166,성환,SEONGHWAN,36.915953,127.126837
P167,직산,JIKSAN,36.870933,127.143824
P168,두정,DUJEONG,36.833599,127.149081
P169,천안,CHEONAN,36.810523,127.14649
P170,봉명,BONGMYEONG,36.80142,127.136038
P171,쌍용,SSANGYONG,36.793726,127.121378
P172,아산,ASAN,36.792117,127.104077
P173,탕정,TANGJEONG,36.78825,127.084417
P174,배방,BAEBANG,36.777697,127.052788
P176,온양온천,ONYANG ONCHEON,36.780545,127.003181
P177,신창,SINCHANG,36.769642,126.951393
P157-1,서동탄,SEODONGTAN,37.195735,127.051857
P144-1,광명,GWANGMYEONG,37.416736,126.884962
